Site,Locality,Catalog,FAI,Base,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,Mean_Scar_Length,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Contexts,Flaked,SABox,FAC1_1,FAC2_1,cSDI
OGS12,OGS12,       115,15,flake,782,121,114,50,82.95,99.37,67.2,47.05,44.63,27.15,4,53.125,62.7270216798557,1.9289932274731,1.32239659685036,1.5841657604463,1.07130863542308,.750075465724045,.711495601174583,.43282781922227,2,Knife,Acheulean,Flaked,51088,.119795438689059,1.05207127838632,.0156592546194801
OGS12,OGS12,       125,97,cobble,604,108,82,76,82,60.75,45.58,53.39,76,70.49,10,64.38,68.4127476900608,1.57865315524654,1.19860702527978,.88799239982618,.66625010014942,.780410110727897,1.11090407221053,1.03036352697527,1,Core,Acheulean,Flaked,46592,-1.79187004645637,-.43114227782592,.0429258241758242
OGS12,OGS12,127,5,cobble,1142,115.37,102,86.22,89,101,82,81.9,86,70,1,64.19,88.3224722405655,1.30623608095757,1.00767106878065,1.14353683086344,.928416040899027,.927283826215004,.973704628259955,.792550278816242,1,Core,Acheulean,Flaked,61018.7628,-1.90721622278685,.733876609159078,.00327768035309952
OGS12,OGS12,       134,25,cobble,1078,118,102,73,84.4,104.7,75.6,67.15,73.75,55.49,3,58.9233333333333,80.3715312247925,1.46818155884033,1.05012308106884,1.30270007805578,.940631574985837,.835494844712949,.917613474275205,.690418599152964,1,Core,Acheulean,Flaked,56192,-1.36496814318024,.845441422726608,.0106776765375854
OGS12,OGS12,       135,15,cobble,454,117,67,60,60.54,66.92,55.53,47.83,59.95,49.74,2,65,62.5688504855366,1.86994005950366,.967574112840612,1.06954178446141,.887502320549045,.764437889282565,.958144500574739,.794964261194121,1,Core,Acheulean,Flaked,37758,-.975330101274919,-.320928917496267,.0105937814502887
OGS12,OGS12,       139,15,cobble,430,110,68,50,63.39,67.93,51.87,52.87,68.83,46.61,3,40.3333333333333,63.5092206281453,1.73203196184794,.998122782377643,1.06960846516664,.816731798736841,.83247754384455,1.08377963576358,.733909179470294,1,Core,Acheulean,Flaked,32760,-1.28535070866716,-.368634561688996,.0183150183150183
OGS12,OGS12,       144,35,cobble,502,115,86,63,68.14,83.16,66.21,21.54,56.25,58.66,5,68.848,60.7864671316763,1.89186846063756,1.12097319050298,1.36806766249234,1.08922270242446,.354355188192461,.925370442703153,.965017425226079,1,Core,Acheulean,Flaked,45106,-.446872269148874,.991228913772834,.0221699995566
OGS12,OGS12,       226,95,flake,742,156,106,57,96.86,90.31,50.24,50.41,55,26.4,14,60.0942857142857,65.2172601988754,2.39200480860878,1.48518965231953,1.38475611708627,.770348215285289,.772954887192106,.843335028676172,.404800813764563,2,Handaxe,Acheulean,Flaked,62940,.642252102273156,-.67126492495479,.0444868128376231
OGS12,OGS12,      2012,95,flake,794,174,84,75,67.42,82.58,58.12,34.6,73.57,51.2,10,75.15,68.8558361701656,2.52701890904336,.979147211768409,1.19931736499311,.844082408009195,.50249916237299,1.06846425941563,.743582575534598,2,Pick,Acheulean,Flaked,67932,.291584358410777,-1.25559829480882,.0294412059117941
OGS12,OGS12,      2042,65,cobble,794,158,86,60,64.74,84.12,58.27,39.54,60,25.41,10,65.714,60.6609937488228,2.60463916325252,1.06724265461372,1.38672307856204,.960584329384331,.65181919313294,.989103479716146,.418885323659788,2,Handaxe,Acheulean,Flaked,56456,.823671776878817,-.983908210139999,.0354258183364036
