Site,Catalog,Scan,Coverage,Old_Scar_Length,New_Scar_Length,Total_Scar_Area,Base,Type,Technology,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,Calc_cover,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Dis_1,logSDI,Average_scar_area,Average_scar_area_relative,Collapsed_Types,FAC1_1,FAC2_1,filter_$,logSDI_plus_one,Note
OGS12,5026, ,75,537,555.9,39938.41,cobble,Core, ,1206,158,101,74,84.2,101,58.7,64.2,80.6,76.5,6,58897.25667,0.67810306,84.67983881,1.86585145,0.994333494,1.192727825,0.693199241,0.758149766,0.951820423,0.903402759,1,Core,Core,0.008056184,6656.401667,0.113017177,Core,-0.995537782,-0.537353395,Not Selected,0.305076768, 
OGS12,5030, ,25,339.2,373.2,9825.1,flake,handaxe,Unidirectional,728,156,94,47,75.09,90.69,73.64,34.46,46.54,27.79,8,40847.897,0.240528907,61.91171993,2.519716787,1.212855984,1.464827663,1.18943554,0.556598977,0.751715508,0.448864933,2,Handaxe/Cleaver,Handaxe/Cleaver,0.291920285,1228.1375,0.030066113,Handaxe,1.109029021,0.122770213,Selected,0.471069395, 
OGS12,5031, ,50, ,304.42,11076.4895,cobble,Core,Multifacial,400,90,70.14,62,53.8,65,59.9,59.69,60.93,50.45,6,27219.477,0.406932488,61.84147531,1.455333974,0.869966309,1.051074537,0.968605611,0.965209832,0.9852611,0.815795544,1,Core,Core,0.343271474,1846.081583,0.067822081,Core,-1.796380213,0.176262025,Not Selected,0.505733702, 
OGS12,5033, ,90, ,1064.6,49500.86,cobble,pick,Multifacial,1082,182.88,109.91,72.52,88.94,94.41,45.43,63.21,51,49.51,11,55724.7367,0.888310344,73.08199994,2.502394572,1.216989136,1.291836568,0.621630498,0.864918859,0.697846255,0.677458198,2,Pick,Pick,0.29534466,4500.078182,0.080755486,Pick,0.47288425,-1.411961607,Not Selected,0.473339313, 
OGS12,5032, ,65,682.2,612.8,29865.71,cobble,pick,Multifacial,986,166,107,72,88.58,87.24,43.08,57.14,62.35,61.25,9,51926.93787,0.575148684,73.9196157,2.245682671,1.198328741,1.180200941,0.582795238,0.773001854,0.843483822,0.828602793,2,Pick,Pick,0.238849796,3318.412222,0.063905409,Pick,-0.19574081,-1.228029173,Not Selected,0.43667212, 
OGS12,5034, ,5,207.5,251.9,6933.3,flake,Flake,Unidirectional,774,165,109,39,92.67,105.66,92.31,20.87,37.71,28.83,5,46180.8202,0.150133756,61.64745546,2.676509497,1.503225061,1.713939354,1.497385404,0.338537898,0.61170408,0.467659205,2,Retouched Flake/Knife,Large Flake,0.034508362,1386.66,0.030026751,Flake,2.003679594,1.317377449,Selected,0.318626834, 
OGS12,5035, ,75,1057.6, , ,cobble,pick,Multifacial,1080,184,110,66,102.53,94.31,54.75,71.56,91,53.56,16,67641.88347, ,85.7083782,2.146814627,1.196265781,1.100359171,0.638794026,0.83492421,1.061739843,0.624909736,2,Pick,Pick,0.373904291, , ,Pick,-0.418617753,-1.340289066,Not Selected,0.527036478,tip broken off at least 25mm
OGS12,2015-13, ,0, ,0,0,flake,Flake, ,642,125,102.76,63.6,69.6,73.8,48.48,42.45,61.5,44,0,33406.80667,0,62.13478731,2.011755498,1.120145461,1.187740446,0.780239252,0.683192167,0.989783705,0.708137935,2,Large Flake,Oldowan,0, , ,Flake,-0.515297167,-0.525861276,Selected,0, 
OGS12,2015-14, ,10, ,125.85,6771.768,flake,Flake,Unifacial simple,526,143.8,103.4,42.4,87.8,103.8,57.9,33.8,39,24,2,37555.86667,0.180311855,58.69720337,2.449861182,1.495812321,1.76839771,0.986418376,0.575836634,0.664426885,0.408878083,2,Retouched Flake/Knife,Retouched Flake/Knife,-0.273647793,3385.884,0.090155928,Flake,1.322599792,0.552580041,Selected,0.185411809, 
OGS12,2015-15, , , ,514,25710.29,flake,pick,Unidirectional,754,124.04,98.79,65.54,97.32,91.93,67.25,66.57,57.85,45.7,7,44830.54727,0.573499356,74.82707855,1.657688666,1.300598685,1.228565939,0.898738816,0.889651197,0.773115844,0.610741471,2,Pick,Oldowan,0.193523999,3672.898571,0.081928479,Pick,-0.860158766,0.494360226,Not Selected,0.408483394, 
OGS12,2015-22, ,5, ,119.07,3697.511,flake,Flake,Unifacial simple,822,150.29,95.47,49.61,82,94,74.4,48.7,40,28.1,3,42875.032,0.086239259,64.64490261,2.324854612,1.26846815,1.454097635,1.150902809,0.753346328,0.618764951,0.434682378,2,Retouched Flake/Knife,Handaxe/Cleaver,-0.155083202,1232.503667,0.02874642,Flake,0.77468121,0.341938318,Selected,0.230374301, 
OGS5,1, ,10,393.6,380.12,10793.82,cobble,handaxe,Unidirectional,896,183,119,44,97.35,119.04,81.72,42.94,38.68,24.13,12,55423.0326,0.194753327,68.31728406,2.678677915,1.424968825,1.742458027,1.196183384,0.628537867,0.566181758,0.353204908,2,Handaxe/Cleaver,Large Flake,0.335490961,899.485,0.016229444,Handaxe,1.813946594,0.47856602,Not Selected,0.500396329, 
OGS5,4, ,35, ,438.95,20372.99,flake,handaxe, ,882,160,93,68.3,72.6,93,57.9,57.9,61,28,8,45334.07333,0.449396855,67.1955711,2.381109311,1.08042835,1.384019787,0.861663932,0.861663932,0.907797925,0.416694129,2,Handaxe/Cleaver,Handaxe/Cleaver,0.246665244,2546.62375,0.056174607,Handaxe,0.402462903,-0.909622675,Selected,0.441644412, 
OGS5,9, ,0, ,0,0,flake,Flake, ,744,160,109,39,92.3,104.2,83.7,34.7,35.5,38.8,0,47965.03667,0,67.14960893,2.382739119,1.374542629,1.551758851,1.246470401,0.516756546,0.528670242,0.577814236,2,Large Flake,Large Flake,0, , ,Flake,1.107735772,0.963987163,Selected,0, 
